Label,Area,Perimeter,equivalent_diameter_area,axis_major_length,axis_minor_length,eccentricity,solidity,intensity_mean,intensity_max,intensity_min,intensity_median,intensity_std,Cluster
85,1486.0,156.46803743153546,43.49751675068879,49.722160844736834,40.694367778668955,0.5745988047519581,0.9543994861913937,117.50672947510094,166.0,98.0,116.0,9.542404923617417,1
86,597.0,98.76955262170047,27.570346537664197,32.684445494467994,24.89367914664498,0.6480040589591654,0.9156441717791411,80.74036850921273,144.0,59.0,80.0,10.989926643813199,0
87,1272.0,137.1543289325507,40.2437659880773,43.573566821245436,38.07069993088746,0.48644555436962106,0.9636363636363636,115.39779874213836,184.0,97.0,113.0,10.459818062308836,1
88,1311.0,149.1543289325507,40.85605271129112,60.924462681099484,28.027411424123077,0.887900558950364,0.9534545454545454,65.75743707093821,206.0,32.0,64.0,19.761871172575315,0
89,569.0,94.18376618407356,26.916041702938184,32.418802642694295,23.60325662257815,0.6854995471479843,0.9579124579124579,81.23374340949033,124.0,66.0,79.0,8.674945452595917,0
90,802.0,118.12489168102783,31.955251757380985,42.72229970590382,24.608754781742515,0.8174379796726944,0.9513641755634639,114.07107231920199,148.0,95.0,113.0,6.578032367106451,1
91,403.0,83.49747468305833,22.65205369339104,33.70913436279235,15.668988130811057,0.8854003982573275,0.9482352941176471,69.66749379652606,147.0,35.0,65.0,16.528000466666867,0
92,579.0,107.59797974644667,27.151532118863187,44.74750490693255,16.59274557073932,0.9287094354394226,0.9523026315789473,79.89291882556131,151.0,54.0,75.0,17.719136780144787,0
93,1464.0,148.12489168102786,43.17432910297829,49.88336270681335,38.09531234891383,0.6455858124934589,0.9631578947368421,113.56489071038251,157.0,96.0,113.0,6.127952359856251,1
94,2345.0,208.89444430272832,54.641986900221305,81.96838081285219,37.701360551517446,0.8879447927048625,0.9406337745687926,95.50319829424308,155.0,78.0,94.0,8.366453116185351,1
95,1971.0,174.8528137423857,50.09546030004122,57.06988053228039,45.02089617509016,0.6145560675278495,0.95355587808418,113.40334855403349,173.0,92.0,112.0,9.100831466620912,1
96,974.0,117.63961030678928,35.21555503711461,39.64002813207258,31.862757274650292,0.5948961224749167,0.9615004935834156,84.58008213552361,223.0,50.0,78.0,25.8962400764266,0
97,315.0,69.94112549695427,20.026743534373637,20.87695201277323,20.616407076489814,0.15749382214146593,0.9375,75.1047619047619,143.0,54.0,72.0,14.60045040152658,0
98,1536.0,154.0243866176395,44.223251132330944,56.67356714709021,35.004934912003684,0.7864460850528233,0.9660377358490566,115.64388020833333,144.0,100.0,115.0,6.20684069413068,1
